# H	I
30.1163909090909      0.326756128498706
31.6870818181818      0.337046889431179
32.1309727272727      0.330321190887298
30.0822454545455      0.347378393933806
28.3749636363636      0.333698277259037
31.9943909090909      0.336469303024715
31.6187909090909      0.333555674763493
31.7553727272727      0.343670729049671
31.8236636363636      0.343357137668404
31.0383090909091      0.354437217463218
32.7797363636364      0.337296531607798
32.2675545454545      0.336398001776943
31.9943909090909      0.340816132665662
29.7066363636364      0.33672858028934
30.8334363636364      0.340716445027712
31.9602454545455      0.336787612166554
33.3602090909091      0.33715138263912
31.8578090909091      0.336122519683279
29.4676181818182      0.340528469010859
26.6335363636364      0.333020915405205
32.4041363636364      0.340457167763087
32.3017      0.333555674763493
32.1992636363636      0.347905689491528
32.0285272727273      0.330339567003775
34.1797      0.340887433913434
31.6870818181818      0.325995283835962
32.1651181818182      0.333757309136251
30.9700181818182      0.343963198274465
31.3456181818182      0.326484581863523
32.2675545454545      0.32684835233609
33.2236272727273      0.343989038191509
33.4285      0.333196709860918
34.1114090909091      0.340352674555146
34.4870090909091      0.343316481907667
28.1700909090909      0.343591964001332
34.8626090909091      0.337080081391348
33.3260636363636      0.336545322033059
34.6577363636364      0.340561660971029
33.5992272727273      0.333586320250528
34.2138454545455      0.344093531399451
33.5309363636364      0.333515019002756
34.2138454545455      0.34024335182919
34.4187181818182      0.329949956614165
34.1114090909091      0.340918079400469
34.2821363636364      0.340971004531764
32.5407090909091      0.351223656176634
34.6918818181818      0.329878655366393
34.9309      0.334146919525861
34.8626090909091      0.326644171490198
34.8967545454545      0.330120945499887
34.9650454545455      0.333013451604637
34.0431181818182      0.337210414516334
32.3699818181818      0.336649815241001
32.2334      0.340528469010859
35.2382090909091      0.333619512210698
35.0674818181818      0.340457167763087
35.0333363636364      0.333619512210698
34.1455545454545      0.330327297633217
36.0918454545455      0.337255875847061
34.0772636363636      0.33754099302873
35.5796636363636      0.33369081345847
34.8967545454545      0.336649815241001
35.9894090909091      0.330515361459488
34.1797      0.330268265756003
34.4528636363636      0.336780148365986
35.3406454545455      0.337355563485012
35.2040636363636      0.337314907724275
34.1455545454545      0.332942150356865
36.2625727272727      0.330615049097439
35.6479545454546      0.336649815241001
36.4333      0.330184782947092
35.7162454545455      0.339955600364968
35.7503909090909      0.334009122600308
35.4430818181818      0.340214877629593
35.8186818181818      0.337816475122394
32.5748454545455      0.340357480125136
36.6040272727273      0.337314907724275
35.2382090909091      0.337255875847061
33.7699545454545      0.330543747849667
32.8821636363636      0.340892239483425
35.8869727272727      0.336708847118215
35.9552636363636      0.33718457459929
35.8869727272727      0.347444777854145
