H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
-9.000000E+0,-807.409100E-6,-9.000000E+0,-833.317700E-6,-9.000000E+0,-712.765800E-6
-7.000000E+0,-805.249600E-6,-9.000000E+0,-832.732200E-6,-7.000000E+0,-712.304600E-6
-5.000000E+0,-804.089200E-6,-6.000000E+0,-831.000000E-6,-5.000000E+0,-712.264200E-6
-3.000000E+0,-803.055100E-6,-3.000000E+0,-828.208500E-6,-3.000000E+0,-710.722400E-6
-1.000000E+0,-802.465000E-6,-1.000000E+0,-828.572500E-6,-1.000000E+0,-709.873200E-6
0.000000E+0,-800.502700E-6,0.000000E+0,-826.591400E-6,0.000000E+0,-708.461000E-6
0.000000E+0,-801.677200E-6,0.000000E+0,-826.112000E-6,0.000000E+0,-709.102100E-6
2.000000E+0,-797.163200E-6,2.000000E+0,-822.498200E-6,2.000000E+0,-707.739000E-6
4.000000E+0,-796.439100E-6,4.000000E+0,-821.957800E-6,4.000000E+0,-706.417300E-6
6.000000E+0,-794.737300E-6,6.000000E+0,-820.561700E-6,6.000000E+0,-704.568100E-6
8.000000E+0,-793.631900E-6,8.000000E+0,-818.296800E-6,8.000000E+0,-702.254300E-6
10.000000E+0,-790.708200E-6,10.000000E+0,-814.939500E-6,10.000000E+0,-701.145600E-6
12.000000E+0,-787.802500E-6,12.000000E+0,-813.797800E-6,12.000000E+0,-698.935200E-6
14.000000E+0,-783.411500E-6,14.000000E+0,-811.279000E-6,14.000000E+0,-696.810400E-6
16.000000E+0,-780.442600E-6,16.000000E+0,-805.850100E-6,16.000000E+0,-692.297900E-6
18.000000E+0,637.504600E-6,18.000000E+0,599.205200E-6,18.000000E+0,504.416400E-6
20.000000E+0,730.132900E-6,20.000000E+0,755.210500E-6,20.000000E+0,660.974200E-6
22.000000E+0,764.266100E-6,22.000000E+0,786.254700E-6,22.000000E+0,677.933200E-6
24.000000E+0,771.249700E-6,24.000000E+0,796.203600E-6,24.000000E+0,684.117500E-6
26.000000E+0,777.867400E-6,26.000000E+0,800.327000E-6,26.000000E+0,689.044800E-6
28.000000E+0,782.485500E-6,28.000000E+0,806.542100E-6,28.000000E+0,694.058300E-6
30.000000E+0,784.682000E-6,30.000000E+0,811.336600E-6,30.000000E+0,697.279700E-6
32.000000E+0,788.337200E-6,32.000000E+0,815.281900E-6,32.000000E+0,700.160500E-6
34.000000E+0,789.731300E-6,34.000000E+0,816.789400E-6,34.000000E+0,703.150000E-6
36.000000E+0,793.422100E-6,36.000000E+0,819.704100E-6,36.000000E+0,706.318700E-6
38.000000E+0,795.813900E-6,38.000000E+0,822.535300E-6,38.000000E+0,708.013200E-6
40.000000E+0,796.744300E-6,40.000000E+0,824.407700E-6,40.000000E+0,709.122700E-6
42.000000E+0,799.844500E-6,42.000000E+0,825.153500E-6,42.000000E+0,710.719500E-6
44.000000E+0,798.805100E-6,44.000000E+0,828.942700E-6,44.000000E+0,710.728400E-6
46.000000E+0,801.652900E-6,46.000000E+0,829.410200E-6,46.000000E+0,712.365400E-6
48.000000E+0,801.883200E-6,48.000000E+0,830.350900E-6,48.000000E+0,713.613500E-6
50.000000E+0,802.385800E-6,50.000000E+0,832.733400E-6,50.000000E+0,715.525000E-6
52.000000E+0,804.755800E-6,52.000000E+0,831.981300E-6,52.000000E+0,714.650000E-6
54.000000E+0,804.812500E-6,54.000000E+0,835.174100E-6,54.000000E+0,718.201600E-6
56.000000E+0,807.410300E-6,56.000000E+0,834.813200E-6,56.000000E+0,716.652000E-6
58.000000E+0,807.140800E-6,58.000000E+0,837.550600E-6,58.000000E+0,718.099700E-6
60.000000E+0,807.013200E-6,60.000000E+0,838.629800E-6,60.000000E+0,717.242700E-6
62.000000E+0,806.638500E-6,62.000000E+0,839.989600E-6,62.000000E+0,718.750900E-6
64.000000E+0,808.445500E-6,64.000000E+0,844.449100E-6,64.000000E+0,719.652800E-6
66.000000E+0,808.744000E-6,66.000000E+0,840.061900E-6,66.000000E+0,719.868500E-6
68.000000E+0,810.062600E-6,68.000000E+0,842.495500E-6,68.000000E+0,720.923100E-6
70.000000E+0,809.393400E-6,70.000000E+0,843.122700E-6,70.000000E+0,720.433300E-6
72.000000E+0,810.082900E-6,72.000000E+0,843.587400E-6,72.000000E+0,721.552700E-6
74.000000E+0,811.156700E-6,74.000000E+0,844.241100E-6,74.000000E+0,722.181200E-6
76.000000E+0,809.623100E-6,76.000000E+0,844.071100E-6,76.000000E+0,721.273200E-6
78.000000E+0,811.359300E-6,78.000000E+0,845.204800E-6,78.000000E+0,720.045100E-6
80.000000E+0,813.026600E-6,80.000000E+0,847.185800E-6,80.000000E+0,722.325400E-6
82.000000E+0,813.579200E-6,82.000000E+0,846.621100E-6,82.000000E+0,722.185000E-6
84.000000E+0,812.556500E-6,84.000000E+0,846.902400E-6,84.000000E+0,723.894400E-6
86.000000E+0,813.469400E-6,86.000000E+0,846.946300E-6,86.000000E+0,722.389900E-6
88.000000E+0,813.116100E-6,88.000000E+0,848.259500E-6,88.000000E+0,723.246700E-6
90.000000E+0,815.429400E-6,90.000000E+0,847.424800E-6,90.000000E+0,724.056400E-6
92.000000E+0,815.255000E-6,92.000000E+0,847.094300E-6,92.000000E+0,726.125600E-6
94.000000E+0,815.590200E-6,94.000000E+0,849.101600E-6,94.000000E+0,725.156200E-6
96.000000E+0,816.080500E-6,96.000000E+0,848.859300E-6,96.000000E+0,724.837400E-6
98.000000E+0,816.935800E-6,98.000000E+0,849.725000E-6,98.000000E+0,725.949200E-6
100.000000E+0,816.061500E-6,100.000000E+0,849.330600E-6,100.000000E+0,725.241300E-6
109.000000E+0,817.948600E-6,109.000000E+0,854.139600E-6,110.000000E+0,727.721500E-6
120.000000E+0,820.722000E-6,120.000000E+0,852.821300E-6,120.000000E+0,728.990900E-6
130.000000E+0,820.983000E-6,130.000000E+0,855.163200E-6,130.000000E+0,729.832400E-6
139.000000E+0,822.317200E-6,139.000000E+0,856.657800E-6,140.000000E+0,730.401000E-6
149.000000E+0,824.108400E-6,149.000000E+0,856.070000E-6,150.000000E+0,731.560500E-6
159.000000E+0,825.468400E-6,159.000000E+0,856.963700E-6,160.000000E+0,731.804600E-6
169.000000E+0,825.506200E-6,169.000000E+0,857.613100E-6,170.000000E+0,731.853700E-6
